Country,Date,Search_Index
United States,2021-12-12,18.0
United States,2021-12-19,18.0
United States,2021-12-26,20.0
United States,2022-01-02,24.0
United States,2022-01-09,29.0
United States,2022-01-16,24.0
United States,2022-01-23,21.0
United States,2022-01-30,18.0
United States,2022-02-06,26.0
United States,2022-02-13,23.0
United States,2022-02-20,19.0
United States,2022-02-27,23.0
United States,2022-03-06,16.0
United States,2022-03-13,13.0
United States,2022-03-20,12.0
United States,2022-03-27,11.0
United States,2022-04-03,11.0
United States,2022-04-10,13.0
World,2020-01-26,40.0
World,2020-02-02,30.0
World,2020-02-09,25.0
World,2020-02-16,22.0
World,2020-02-23,42.0
World,2020-03-01,40.0
World,2020-03-08,40.0
World,2020-03-15,57.0
World,2020-03-22,63.0
World,2020-03-29,96.0
World,2020-04-05,100.0
World,2020-04-12,75.0
World,2020-04-19,71.0
World,2020-04-26,68.0
World,2020-05-03,62.0
World,2020-05-10,60.0
World,2020-05-17,59.0
World,2020-05-24,51.0
World,2020-05-31,46.0
World,2020-06-07,46.0
World,2020-06-14,49.0
World,2020-06-21,57.0
World,2020-06-28,63.0
World,2020-07-05,62.0
World,2020-07-12,80.0
World,2020-07-19,81.0
World,2020-07-26,63.0
World,2020-08-02,57.0
World,2020-08-09,52.0
World,2020-08-16,45.0
World,2020-08-23,44.0
World,2020-08-30,42.0
World,2020-09-06,41.0
World,2020-09-13,41.0
World,2020-09-20,41.0
World,2020-09-27,39.0
World,2020-10-04,38.0
World,2020-10-11,36.0
World,2020-10-18,37.0
World,2020-10-25,40.0
World,2020-11-01,32.0
World,2020-11-08,34.0
World,2020-11-15,36.0
World,2020-11-22,35.0
World,2020-11-29,33.0
World,2020-12-06,31.0
World,2020-12-13,30.0
World,2020-12-20,28.0
World,2020-12-27,29.0
World,2021-01-03,30.0
World,2021-01-10,31.0
World,2021-01-17,33.0
World,2021-01-24,34.0
World,2021-01-31,31.0
World,2021-02-07,30.0
World,2021-02-14,27.0
World,2021-02-21,28.0
World,2021-02-28,32.0
World,2021-03-07,27.0
World,2021-03-14,25.0
World,2021-03-21,26.0
World,2021-03-28,27.0
World,2021-04-04,28.0
World,2021-04-11,27.0
World,2021-04-18,29.0
World,2021-04-25,31.0
World,2021-05-02,29.0
World,2021-05-09,37.0
World,2021-05-16,35.0
World,2021-05-23,28.0
World,2021-05-30,26.0
World,2021-06-06,25.0
World,2021-06-13,26.0
World,2021-06-20,24.0
World,2021-06-27,26.0
World,2021-07-04,24.0
World,2021-07-11,26.0
World,2021-07-18,26.0
World,2021-07-25,35.0
World,2021-08-01,32.0
World,2021-08-08,31.0
World,2021-08-15,32.0
World,2021-08-22,30.0
World,2021-08-29,27.0
World,2021-09-05,25.0
World,2021-09-12,26.0
World,2021-09-19,24.0
World,2021-09-26,24.0
World,2021-10-03,25.0
World,2021-10-10,25.0
World,2021-10-17,27.0
World,2021-10-24,28.0
World,2021-10-31,22.0
World,2021-11-07,21.0
World,2021-11-14,21.0
World,2021-11-21,21.0
World,2021-11-28,23.0
World,2021-12-05,22.0
World,2021-12-12,24.0
World,2021-12-19,25.0
World,2021-12-26,28.0
World,2022-01-02,33.0
World,2022-01-09,36.0
World,2022-01-16,32.0
World,2022-01-23,29.0
World,2022-01-30,26.0
World,2022-02-06,29.0
World,2022-02-13,27.0
World,2022-02-20,25.0
World,2022-02-27,28.0
World,2022-03-06,24.0
World,2022-03-13,20.0
World,2022-03-20,21.0
World,2022-03-27,20.0
World,2022-04-03,19.0
World,2022-04-10,21.0
